id,user_id,name,description,contact_count,created_at,updated_at,no_duplicates_with_other_lists,is_default
55,5,251120-INDIA-Secondary-Edu-DELIVERABLE,"Cleaned with Emailable. Includes those marked as ""Delieverable"".",199,2025-11-19 22:12:22.04668,2025-11-19 22:12:22.04668,f,f
47,1,ct4,"",11,2025-11-02 18:14:50.732455,2025-11-02 18:14:50.732455,f,f
52,19,tryout,"",3,2025-11-11 20:12:49.092947,2025-11-11 20:12:49.092947,f,f
48,1,ct6,"",4,2025-11-02 19:16:27.629629,2025-11-02 19:16:27.629629,f,f
50,1,Campaign: commercial k12 stem education in austin,"Contacts from search: ""commercial k12 stem education in austin""",34,2025-11-03 01:12:50.213849,2025-12-03 19:30:05.619,f,f
58,50,Boutique Ad Agency,"",6,2025-11-26 04:57:35.684772,2025-11-26 04:57:35.684772,f,f
57,50,Comms Finance,"",25,2025-11-26 00:28:05.320656,2025-11-26 00:28:05.320656,f,f
61,25,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
64,11,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
68,12,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
69,10,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
71,72,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
72,47,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
75,73,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
77,21,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
78,5,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
79,19,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
80,52,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
81,85,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
83,55,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
85,48,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
87,50,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
88,51,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
89,76,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
93,59,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
95,74,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
97,16,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
98,36,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
99,53,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
100,23,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
101,44,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
102,58,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
103,1,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
105,49,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
106,22,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
107,75,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
109,14,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
110,35,Pipeline,Your default contact list for prospects,0,2025-12-20 05:43:22.677778,2025-12-20 05:43:22.677778,f,t
