id,job_id,user_id,executed_at,status,batch_id,processing_time_ms,contacts_processed,error_message,created_at
24,1,5,2025-09-26 13:00:26.208+00,success,29,20466,5,,2025-09-26 13:00:26.323911+00
25,1,5,2025-09-29 13:00:19.219+00,success,30,7467,5,,2025-09-29 13:00:19.233905+00
265,1,5,2026-01-01 15:09:19.146+00,success,145,7593,5,,2026-01-01 15:09:19.160942+00
27,11,1,2025-09-29 13:00:20.091+00,failed,,12296,,"update or delete on table ""daily_outreach_jobs"" violates foreign key constraint ""daily_outreach_job_logs_job_id_fkey"" on table ""daily_outreach_job_logs""",2025-09-29 13:00:20.409885+00
28,13,22,2025-09-29 13:00:31.989+00,success,,24196,0,,2025-09-29 13:00:32.807794+00
29,11,1,2025-09-29 13:01:33.39+00,failed,,12999,,"update or delete on table ""daily_outreach_jobs"" violates foreign key constraint ""daily_outreach_job_logs_job_id_fkey"" on table ""daily_outreach_job_logs""",2025-09-29 13:01:34.008707+00
266,1,5,2026-01-03 16:01:57.507+00,success,146,8404,5,,2026-01-03 16:01:57.522085+00
267,18,74,2026-01-05 14:00:13.012+00,success,,206,0,,2026-01-05 14:00:13.025905+00
32,1,5,2025-09-29 13:01:40.422+00,success,34,92628,5,,2025-09-29 13:01:40.442068+00
33,11,1,2025-09-29 13:06:43.29+00,failed_permanent,,2765,,"update or delete on table ""daily_outreach_jobs"" violates foreign key constraint ""daily_outreach_job_logs_job_id_fkey"" on table ""daily_outreach_job_logs""",2025-09-29 13:06:43.608235+00
34,13,22,2025-09-30 13:00:46.55+00,success,,24400,0,,2025-09-30 13:00:47.366726+00
35,1,5,2025-09-30 13:01:50.85+00,success,35,88700,5,,2025-09-30 13:01:50.869058+00
269,1,5,2026-01-05 14:00:19.235+00,success,147,6428,5,,2026-01-05 14:00:19.252347+00
270,11,1,2026-01-05 14:00:20.061+00,success,148,7253,5,,2026-01-05 14:00:20.075536+00
38,13,22,2025-10-01 13:00:58.113+00,success,,35472,0,,2025-10-01 13:01:05.631832+00
272,18,74,2026-01-06 15:28:33.222+00,success,,251,0,,2026-01-06 15:28:33.25364+00
277,18,74,2026-01-07 20:59:30.084+00,success,,169,0,,2026-01-07 20:59:30.099924+00
41,1,5,2025-10-01 13:02:22.711+00,success,40,119801,5,,2025-10-01 13:02:23.327819+00
282,1,5,2026-01-08 14:00:08.581+00,success,156,7021,5,,2026-01-08 14:00:08.596116+00
43,1,5,2025-10-02 13:01:35.787+00,success,42,71099,5,,2025-10-02 13:01:35.904218+00
283,1,5,2026-01-09 22:10:41.085+00,success,157,10340,5,,2026-01-09 22:10:41.100094+00
45,1,5,2025-10-03 13:00:58.868+00,success,44,45130,5,,2025-10-03 13:00:59.053029+00
46,13,22,2025-10-06 13:00:53.285+00,success,,46403,0,,2025-10-06 13:00:54.078203+00
47,1,5,2025-10-06 13:01:23.782+00,success,45,76500,5,,2025-10-06 13:01:23.89857+00
284,18,74,2026-01-12 18:34:08.774+00,success,,234,0,,2026-01-12 18:34:08.789348+00
286,1,5,2026-01-12 18:34:16.96+00,success,158,8421,5,,2026-01-12 18:34:16.974657+00
50,13,22,2025-10-07 13:00:44.277+00,success,,21001,0,,2025-10-07 13:00:47.994147+00
289,18,74,2026-01-13 15:27:21.28+00,success,,179,0,,2026-01-13 15:27:21.296495+00
52,1,5,2025-10-07 13:01:26.676+00,success,48,63399,5,,2025-10-07 13:01:26.69352+00
294,18,74,2026-01-14 20:09:01.129+00,success,,197,0,,2026-01-14 20:09:01.143557+00
299,1,5,2026-01-15 18:41:55.95+00,success,167,14139,5,,2026-01-15 18:41:55.964764+00
55,13,22,2025-10-08 13:01:07.082+00,success,,37400,0,,2025-10-08 13:01:10.305011+00
300,1,5,2026-01-16 15:23:50.958+00,success,168,8149,5,,2026-01-16 15:23:50.973778+00
57,1,5,2025-10-08 13:03:52.268+00,success,51,35706,5,,2025-10-08 13:03:52.791417+00
301,18,74,2026-01-19 14:00:20.676+00,success,,216,0,,2026-01-19 14:00:20.690557+00
59,1,5,2025-10-09 13:01:25.039+00,success,52,60300,5,,2025-10-09 13:01:25.36144+00
304,1,5,2026-01-19 14:00:30.547+00,success,170,10088,5,,2026-01-19 14:00:30.561016+00
61,1,5,2025-10-10 13:00:37.572+00,success,54,30569,5,,2025-10-10 13:00:37.689294+00
62,13,22,2025-10-13 13:00:44.189+00,success,,22237,0,,2025-10-13 13:00:45.505404+00
305,11,1,2026-01-19 14:00:32.201+00,success,171,11742,5,,2026-01-19 14:00:32.215808+00
64,1,5,2025-10-13 13:01:27.788+00,success,55,65836,5,,2025-10-13 13:01:27.904528+00
306,18,74,2026-01-20 14:00:20.991+00,success,,212,0,,2026-01-20 14:00:21.006918+00
66,13,22,2025-10-14 13:00:53.393+00,success,,28771,0,,2025-10-14 13:00:53.910378+00
308,11,1,2026-01-20 14:00:21.612+00,failed,,834,,"column ""company_phone_number"" does not exist",2026-01-20 14:00:21.626225+00
68,1,5,2025-10-14 13:02:00.091+00,success,57,95468,5,,2025-10-14 13:02:00.30746+00
311,18,74,2026-01-21 20:07:36.392+00,success,,264,0,,2026-01-21 20:07:36.407118+00
314,13,22,2026-01-21 20:07:41.449+00,success,,5322,0,,2026-01-21 20:07:41.467898+00
71,13,22,2025-10-15 13:01:18.038+00,success,,64569,0,,2025-10-15 13:01:21.456767+00
72,1,5,2025-10-15 13:02:09.071+00,success,59,115602,5,,2025-10-15 13:02:09.255451+00
318,1,5,2026-01-22 15:06:55.216+00,success,175,9299,5,,2026-01-22 15:06:55.231777+00
319,1,5,2026-01-23 15:46:00.916+00,failed,,1517,,"column ""super_search_note"" does not exist",2026-01-23 15:46:00.932032+00
75,1,5,2025-10-16 13:01:39.625+00,success,61,76255,5,,2025-10-16 13:01:39.941401+00
322,18,74,2026-01-26 14:00:01.611+00,success,,146,0,,2026-01-26 14:00:01.62581+00
77,1,5,2025-10-17 13:01:24.372+00,success,63,67799,5,,2025-10-17 13:01:24.490191+00
78,13,22,2025-10-20 13:00:58.279+00,success,,41101,0,,2025-10-20 13:00:59.594838+00
327,18,74,2026-01-27 18:17:00.711+00,success,,170,0,,2026-01-27 18:17:00.727888+00
80,1,5,2025-10-20 13:01:27.278+00,success,64,69900,5,,2025-10-20 13:01:27.695097+00
332,18,74,2026-01-28 18:11:34.248+00,success,,165,0,,2026-01-28 18:11:34.263826+00
261,11,1,2025-12-31 18:36:42.386+00,success,141,12011,5,,2025-12-31 18:36:42.397923+00
84,13,22,2025-10-21 13:00:42.886+00,success,,39273,0,,2025-10-21 13:00:44.201877+00
85,1,5,2025-10-21 13:01:05.086+00,success,66,61473,5,,2025-10-21 13:01:05.202594+00
268,13,22,2026-01-05 14:00:13.498+00,success,,691,0,,2026-01-05 14:00:13.512863+00
273,13,22,2026-01-06 15:28:34.497+00,success,,1526,0,,2026-01-06 15:28:34.511418+00
88,13,22,2025-10-22 13:00:54.376+00,success,,24549,0,,2025-10-22 13:00:56.393583+00
89,1,5,2025-10-22 13:01:32.775+00,success,67,62947,5,,2025-10-22 13:01:33.192901+00
274,1,5,2026-01-06 15:28:40.513+00,success,150,7542,5,,2026-01-06 15:28:40.527207+00
275,17,50,2026-01-06 15:28:41.27+00,success,151,8299,5,,2026-01-06 15:28:41.287821+00
92,1,5,2025-10-23 13:11:45.462+00,success,68,14339,5,,2025-10-23 13:11:45.979561+00
93,1,5,2025-10-24 13:06:22.444+00,success,69,46695,5,,2025-10-24 13:06:22.560635+00
276,11,1,2026-01-06 15:28:42.915+00,success,152,9944,5,,2026-01-06 15:28:42.929874+00
95,13,22,2025-10-27 13:00:55.807+00,success,,46770,0,,2025-10-27 13:00:56.124476+00
278,13,22,2026-01-07 20:59:33.306+00,success,,3391,0,,2026-01-07 20:59:33.337619+00
97,1,5,2025-10-27 13:01:23.306+00,success,70,73900,5,,2025-10-27 13:01:23.422591+00
98,13,22,2025-10-28 13:19:19.156+00,success,,842,0,,2025-10-28 13:19:19.175849+00
279,1,5,2026-01-07 20:59:39.581+00,success,153,9666,5,,2026-01-07 20:59:39.596001+00
285,13,22,2026-01-12 18:34:09.913+00,success,,1373,0,,2026-01-12 18:34:09.927428+00
101,1,5,2025-10-28 13:19:35.556+00,success,71,17242,5,,2025-10-28 13:19:35.575385+00
290,13,22,2026-01-13 15:27:24.777+00,success,,3676,0,,2026-01-13 15:27:24.798289+00
103,13,22,2025-10-29 13:00:30.115+00,success,,653,0,,2025-10-29 13:00:30.137647+00
292,11,1,2026-01-13 15:27:33.429+00,success,162,12328,5,,2026-01-13 15:27:33.44339+00
105,11,1,2025-10-29 13:00:35.97+00,success,72,6508,5,,2025-10-29 13:00:35.985834+00
106,1,5,2025-10-29 13:00:41.891+00,success,73,12429,5,,2025-10-29 13:00:41.906467+00
293,1,5,2026-01-13 15:27:33.707+00,success,163,12606,5,,2026-01-13 15:27:33.721339+00
295,13,22,2026-01-14 20:09:03.892+00,success,,2960,0,,2026-01-14 20:09:03.911677+00
109,1,5,2025-10-30 13:01:15.717+00,success,74,74299,5,,2025-10-30 13:01:15.833445+00
110,1,5,2025-10-31 13:00:23.219+00,failed,,3140,,"column ""requires_human_review"" does not exist",2025-10-31 13:00:23.495077+00
111,1,5,2025-10-31 13:01:29.65+00,failed,,223,,"column ""requires_human_review"" does not exist",2025-10-31 13:01:29.665624+00
112,1,5,2025-10-31 13:06:53.477+00,failed_permanent,,2067,,"column ""requires_human_review"" does not exist",2025-10-31 13:06:53.496003+00
296,1,5,2026-01-14 20:09:15.687+00,success,164,14754,5,,2026-01-14 20:09:15.701874+00
297,17,50,2026-01-14 20:09:15.868+00,success,165,14936,5,,2026-01-14 20:09:15.882402+00
115,13,22,2025-11-03 14:01:05.175+00,success,,48300,0,,2025-11-03 14:01:05.39806+00
116,1,5,2025-11-03 14:01:33.975+00,success,75,77100,5,,2025-11-03 14:01:34.092777+00
117,11,1,2025-11-03 14:01:34.075+00,success,76,77101,5,,2025-11-03 14:01:34.19334+00
118,13,22,2025-11-04 14:04:41.465+00,success,,893,0,,2025-11-04 14:04:41.486631+00
302,13,22,2026-01-19 14:00:22.624+00,success,,2165,0,,2026-01-19 14:00:22.638524+00
307,17,50,2026-01-20 14:00:21.61+00,failed,,832,,"column ""company_phone_number"" does not exist",2026-01-20 14:00:21.625415+00
121,1,5,2025-11-04 14:05:01.15+00,success,77,20578,5,,2025-11-04 14:05:01.169926+00
122,11,1,2025-11-04 14:05:01.65+00,success,78,21078,5,,2025-11-04 14:05:01.66973+00
312,18,74,2026-01-21 20:07:36.43+00,success,,303,0,,2026-01-21 20:07:36.447929+00
124,13,22,2025-11-05 14:00:48.075+00,success,,45364,0,,2025-11-05 14:00:52.9919+00
315,1,5,2026-01-21 20:07:49.785+00,success,172,13658,5,,2026-01-21 20:07:49.800227+00
126,1,5,2025-11-05 14:01:14.974+00,success,79,71700,5,,2025-11-05 14:01:15.290727+00
127,11,1,2025-11-05 14:01:18.073+00,success,80,74799,5,,2025-11-05 14:01:18.190954+00
317,11,1,2026-01-21 20:07:51.389+00,success,174,15262,5,,2026-01-21 20:07:51.404589+00
320,1,5,2026-01-23 15:47:29.752+00,failed,,351,,"column ""super_search_note"" does not exist",2026-01-23 15:47:29.767775+00
130,1,5,2025-11-06 14:00:44.891+00,success,81,39399,5,,2025-11-06 14:00:45.008713+00
131,1,5,2025-11-07 14:00:34.524+00,success,82,27030,5,,2025-11-07 14:00:34.809084+00
132,13,22,2025-11-10 14:02:03.485+00,success,,888,0,,2025-11-10 14:02:03.506637+00
323,13,22,2026-01-26 14:00:02.107+00,success,,642,0,,2026-01-26 14:00:02.122667+00
328,13,22,2026-01-27 18:17:02.494+00,success,,1953,0,,2026-01-27 18:17:02.509743+00
135,11,1,2025-11-10 14:02:20.405+00,success,83,17809,5,,2025-11-10 14:02:20.422727+00
136,1,5,2025-11-10 14:02:21.905+00,success,84,19308,5,,2025-11-10 14:02:22.020816+00
333,13,22,2026-01-28 18:11:37.029+00,success,,2946,0,,2026-01-28 18:11:37.062193+00
138,13,22,2025-11-11 14:00:34.825+00,success,,1404,0,,2025-11-11 14:00:34.841057+00
334,17,50,2026-01-28 18:11:45.791+00,success,182,11708,5,,2026-01-28 18:11:45.805976+00
140,1,5,2025-11-11 14:00:43.042+00,success,85,9621,5,,2025-11-11 14:00:43.057045+00
141,13,22,2025-11-11 14:00:43.814+00,success,,27599,0,,2025-11-11 14:00:45.530759+00
335,11,1,2026-01-28 18:11:46.905+00,success,183,12821,5,,2026-01-28 18:11:46.91992+00
143,11,1,2025-11-11 14:00:46.323+00,success,86,12902,5,,2025-11-11 14:00:46.338723+00
337,1,5,2026-01-29 14:06:46.571+00,success,185,11381,5,,2026-01-29 14:06:46.575674+00
145,1,5,2025-11-11 14:01:05.913+00,success,87,49500,5,,2025-11-11 14:01:06.130805+00
146,11,1,2025-11-11 14:01:06.113+00,success,88,49700,5,,2025-11-11 14:01:06.329441+00
147,13,22,2025-11-12 14:00:46.804+00,success,,23600,0,,2025-11-12 14:00:48.820324+00
338,1,5,2026-01-30 14:00:33.136+00,success,186,7529,5,,2026-01-30 14:00:33.15141+00
339,18,74,2026-02-02 14:00:24.063+00,success,,478,0,,2026-02-02 14:00:24.104815+00
150,1,5,2025-11-12 14:01:10.504+00,success,89,47300,5,,2025-11-12 14:01:10.820695+00
151,11,1,2025-11-12 14:01:11.604+00,success,90,48399,5,,2025-11-12 14:01:11.719795+00
341,1,5,2026-02-02 14:00:30.58+00,success,187,6995,5,,2026-02-02 14:00:30.594956+00
344,13,22,2026-02-03 14:00:07.543+00,success,,656,0,,2026-02-03 14:00:07.55846+00
154,1,5,2025-11-13 14:01:02.093+00,success,91,35799,5,,2025-11-13 14:01:02.10993+00
155,1,5,2025-11-14 14:00:54.873+00,success,92,28900,5,,2025-11-14 14:00:55.29056+00
346,11,1,2026-02-03 14:00:14.024+00,success,190,7136,5,,2026-02-03 14:00:14.039329+00
347,17,50,2026-02-03 14:00:14.514+00,success,191,7627,5,,2026-02-03 14:00:14.529401+00
158,13,22,2025-11-17 14:00:58.502+00,success,,30002,0,,2025-11-17 14:00:58.918292+00
159,11,1,2025-11-17 14:01:15.301+00,success,93,46801,5,,2025-11-17 14:01:15.616875+00
160,1,5,2025-11-17 14:01:15.599+00,success,94,47099,5,,2025-11-17 14:01:15.71617+00
161,13,22,2025-11-18 14:13:38.602+00,success,,871,0,,2025-11-18 14:13:38.627738+00
348,1,5,2026-02-03 14:00:17.713+00,success,192,10826,5,,2026-02-03 14:00:17.728198+00
349,13,22,2026-02-04 18:55:03.619+00,success,,3351,0,,2026-02-04 18:55:03.667447+00
164,11,1,2025-11-18 14:13:52.797+00,success,95,15066,5,,2025-11-18 14:13:52.814021+00
165,1,5,2025-11-18 14:13:52.996+00,success,96,15265,5,,2025-11-18 14:13:53.212829+00
351,11,1,2026-02-04 18:55:10.346+00,success,193,10078,5,,2026-02-04 18:55:10.361351+00
167,1,5,2025-11-19 14:00:38.422+00,failed,,28069,,Connection terminated unexpectedly,2025-11-19 14:00:39.035417+00
168,13,22,2025-11-19 14:00:43.122+00,success,,32769,0,,2025-11-19 14:00:43.138454+00
170,11,1,2025-11-19 14:01:05.522+00,success,97,55169,5,,2025-11-19 14:01:05.541295+00
172,1,5,2025-11-19 14:02:11.622+00,success,98,30899,5,,2025-11-19 14:02:11.939537+00
263,13,22,2025-12-31 18:36:42.55+00,success,143,12174,5,,2025-12-31 18:36:42.561516+00
175,1,5,2025-11-20 14:10:06.016+00,success,99,22358,5,,2025-11-20 14:10:06.232624+00
176,1,5,2025-11-21 14:00:49.347+00,success,100,28768,5,,2025-11-21 14:00:49.365305+00
264,1,5,2025-12-31 18:36:42.817+00,success,144,12442,5,,2025-12-31 18:36:42.83096+00
271,17,50,2026-01-05 14:00:50.864+00,success,149,38057,5,,2026-01-05 14:00:50.879624+00
179,13,22,2025-11-24 14:00:31.664+00,success,,26899,0,,2025-11-24 14:00:32.079978+00
180,11,1,2025-11-24 14:01:04.363+00,success,101,59598,5,,2025-11-24 14:01:04.381953+00
181,1,5,2025-11-24 14:01:06.366+00,success,102,61601,5,,2025-11-24 14:01:06.479795+00
280,17,50,2026-01-07 20:59:39.58+00,success,154,9665,5,,2026-01-07 20:59:39.596596+00
183,13,22,2025-11-25 14:00:31.743+00,success,,25800,0,,2025-11-25 14:00:31.962005+00
281,11,1,2026-01-07 20:59:40.838+00,success,155,10923,5,,2026-01-07 20:59:40.853195+00
185,1,5,2025-11-25 14:01:13.543+00,success,103,67600,5,,2025-11-25 14:01:13.661235+00
186,11,1,2025-11-25 14:01:14.142+00,success,104,68199,5,,2025-11-25 14:01:14.559979+00
287,17,50,2026-01-12 18:34:17.127+00,success,159,8587,5,,2026-01-12 18:34:17.141385+00
288,11,1,2026-01-12 18:34:18.198+00,success,160,9658,5,,2026-01-12 18:34:18.212788+00
189,13,22,2025-11-26 14:01:09.853+00,success,,51470,0,,2025-11-26 14:01:10.672286+00
190,1,5,2025-11-26 14:01:35.39+00,success,105,77007,5,,2025-11-26 14:01:35.407649+00
191,11,1,2025-11-26 14:01:35.498+00,success,106,77115,5,,2025-11-26 14:01:35.5677+00
291,17,50,2026-01-13 15:27:32.139+00,success,161,11038,5,,2026-01-13 15:27:32.153778+00
298,11,1,2026-01-14 20:09:18.045+00,success,166,17112,5,,2026-01-14 20:09:18.059974+00
194,1,5,2025-11-27 14:01:05.932+00,success,107,48199,5,,2025-11-27 14:01:06.048511+00
195,1,5,2025-11-28 14:12:26.87+00,success,108,26908,5,,2025-11-28 14:12:26.986273+00
196,13,22,2025-12-01 14:01:07.912+00,success,,42942,0,,2025-12-01 14:01:10.031202+00
303,17,50,2026-01-19 14:00:29.868+00,success,169,9410,5,,2026-01-19 14:00:29.882704+00
309,1,5,2026-01-20 14:00:21.634+00,failed,,856,,"column ""company_phone_number"" does not exist",2026-01-20 14:00:21.648247+00
199,11,1,2025-12-01 14:01:34.613+00,success,109,69642,5,,2025-12-01 14:01:34.828315+00
200,1,5,2025-12-01 14:01:35.312+00,success,110,70342,5,,2025-12-01 14:01:35.427835+00
201,13,22,2025-12-02 14:01:04.927+00,success,,35168,0,,2025-12-02 14:01:07.446524+00
310,13,22,2026-01-20 14:00:21.865+00,success,,1087,0,,2026-01-20 14:00:21.8802+00
313,18,74,2026-01-21 20:07:36.438+00,success,,312,0,,2026-01-21 20:07:36.464621+00
204,1,5,2025-12-02 14:01:50.327+00,success,111,80567,5,,2025-12-02 14:01:50.642796+00
205,11,1,2025-12-02 14:01:51.227+00,success,112,81469,5,,2025-12-02 14:01:51.244786+00
206,13,22,2025-12-03 14:00:57.467+00,success,,31801,0,,2025-12-03 14:01:00.083408+00
316,17,50,2026-01-21 20:07:50.788+00,success,173,14662,5,,2026-01-21 20:07:50.802292+00
321,1,5,2026-01-23 15:52:59.814+00,failed_permanent,,297,,"column ""super_search_note"" does not exist",2026-01-23 15:52:59.828032+00
209,1,5,2025-12-03 14:01:36.366+00,success,113,70699,5,,2025-12-03 14:01:36.682333+00
210,11,1,2025-12-03 14:01:36.866+00,success,114,71199,5,,2025-12-03 14:01:37.081827+00
324,17,50,2026-01-26 14:00:09.594+00,success,176,8129,5,,2026-01-26 14:00:09.608926+00
325,1,5,2026-01-26 14:00:10.81+00,success,177,9345,5,,2026-01-26 14:00:10.823832+00
213,1,5,2025-12-04 14:00:59.442+00,success,115,39183,5,,2025-12-04 14:00:59.52834+00
214,1,5,2025-12-05 14:09:25.922+00,success,116,21958,5,,2025-12-05 14:09:25.938455+00
326,11,1,2026-01-26 14:00:11.384+00,success,178,9919,5,,2026-01-26 14:00:11.397977+00
216,13,22,2025-12-08 14:00:50.071+00,success,,25569,0,,2025-12-08 14:00:51.988886+00
329,17,50,2026-01-27 18:17:09.246+00,success,179,8704,5,,2026-01-27 18:17:09.261396+00
218,1,5,2025-12-08 14:01:16.783+00,success,117,52281,5,,2025-12-08 14:01:16.800049+00
219,11,1,2025-12-08 14:01:17.171+00,success,119,52669,5,,2025-12-08 14:01:17.38649+00
220,17,50,2025-12-08 14:01:17.37+00,success,118,52868,5,,2025-12-08 14:01:17.485614+00
330,1,5,2026-01-27 18:17:09.82+00,success,180,9278,5,,2026-01-27 18:17:09.834836+00
331,11,1,2026-01-27 18:17:10.169+00,success,181,9625,5,,2026-01-27 18:17:10.18463+00
223,13,22,2025-12-09 14:01:04.784+00,success,,46400,0,,2025-12-09 14:01:08.700646+00
224,17,50,2025-12-09 14:01:33.285+00,success,120,74900,5,,2025-12-09 14:01:33.501986+00
225,1,5,2025-12-09 14:01:33.684+00,success,121,75299,5,,2025-12-09 14:01:33.701083+00
226,11,1,2025-12-09 14:01:33.884+00,success,122,75499,5,,2025-12-09 14:01:34.000233+00
336,1,5,2026-01-28 18:11:47.681+00,success,184,13597,5,,2026-01-28 18:11:47.700918+00
228,13,22,2025-12-10 14:01:14.935+00,success,,50500,0,,2025-12-10 14:01:19.450471+00
340,13,22,2026-02-02 14:00:24.195+00,success,,609,0,,2026-02-02 14:00:24.222873+00
230,1,5,2025-12-10 14:01:53.634+00,success,123,89199,5,,2025-12-10 14:01:53.851187+00
231,11,1,2025-12-10 14:01:54.564+00,success,124,90129,5,,2025-12-10 14:01:54.650848+00
232,17,50,2025-12-10 14:01:54.634+00,success,125,90199,5,,2025-12-10 14:01:54.750777+00
342,17,50,2026-02-02 14:00:30.633+00,success,188,7047,5,,2026-02-02 14:00:30.647461+00
343,11,1,2026-02-02 14:00:31.36+00,success,189,7774,5,,2026-02-02 14:00:31.374321+00
235,1,5,2025-12-11 14:10:06.683+00,success,126,12991,5,,2025-12-11 14:10:06.799894+00
236,1,5,2025-12-12 14:00:51.203+00,success,127,25240,5,,2025-12-12 14:00:51.319498+00
237,13,22,2025-12-15 14:01:14.636+00,success,,57100,0,,2025-12-15 14:01:17.755561+00
345,18,74,2026-02-03 14:00:07.552+00,success,,665,0,,2026-02-03 14:00:07.566387+00
350,18,74,2026-02-04 18:55:05.231+00,success,,4963,0,,2026-02-04 18:55:05.254067+00
240,1,5,2025-12-15 14:02:22.535+00,success,130,124700,5,,2025-12-15 14:02:23.451977+00
241,17,50,2025-12-15 14:02:23.435+00,success,129,125899,5,,2025-12-15 14:02:24.556334+00
242,11,1,2025-12-15 14:02:24.135+00,success,128,126599,5,,2025-12-15 14:02:25.153372+00
352,17,50,2026-02-04 18:55:10.56+00,success,194,10292,5,,2026-02-04 18:55:10.575655+00
244,13,22,2025-12-16 14:00:50.955+00,success,,39068,0,,2025-12-16 14:00:52.472825+00
353,1,5,2026-02-04 18:55:10.738+00,success,195,10469,5,,2026-02-04 18:55:10.752684+00
246,17,50,2025-12-16 14:01:21.855+00,success,131,69968,5,,2025-12-16 14:01:21.873454+00
247,1,5,2025-12-16 14:01:21.855+00,success,132,69968,5,,2025-12-16 14:01:22.072366+00
248,11,1,2025-12-16 14:01:22.054+00,success,133,70167,5,,2025-12-16 14:01:22.2718+00
354,1,5,2026-02-05 18:04:36.255+00,success,196,10392,5,,2026-02-05 18:04:36.268992+00
250,13,22,2025-12-17 14:01:43.922+00,success,,979,0,,2025-12-17 14:01:43.970294+00
355,1,5,2026-02-06 14:00:18.468+00,success,197,6904,5,,2026-02-06 14:00:18.482825+00
252,18,74,2025-12-17 14:01:52.355+00,success,136,9412,5,,2025-12-17 14:01:52.972647+00
253,1,5,2025-12-17 14:01:53.955+00,success,135,11012,5,,2025-12-17 14:01:54.172235+00
254,17,50,2025-12-17 14:01:53.655+00,success,137,10712,5,,2025-12-17 14:01:54.173182+00
255,11,1,2025-12-17 14:01:53.656+00,success,138,10713,5,,2025-12-17 14:01:54.173754+00
356,13,22,2026-02-17 19:44:41.879+00,success,,1454,0,,2026-02-17 19:44:41.89659+00
357,18,74,2026-02-17 19:44:42.467+00,success,,2042,0,,2026-02-17 19:44:42.487124+00
258,1,5,2025-12-18 14:00:42.702+00,success,139,34100,5,,2025-12-18 14:00:42.722559+00
358,1,5,2026-02-17 19:44:51.296+00,success,198,10871,5,,2026-02-17 19:44:51.311036+00
359,17,50,2026-02-17 19:44:51.541+00,success,199,11116,5,,2026-02-17 19:44:51.555191+00
360,11,1,2026-02-17 19:44:52.392+00,success,200,11967,5,,2026-02-17 19:44:52.406837+00
362,18,74,2026-02-18 14:35:05.716+00,success,,2610,0,,2026-02-18 14:35:05.725394+00
361,13,22,2026-02-18 14:35:05.717+00,success,,2611,0,,2026-02-18 14:35:05.725391+00
363,11,1,2026-02-18 14:35:09.969+00,success,201,6862,5,,2026-02-18 14:35:09.970896+00
364,1,5,2026-02-18 14:35:10.01+00,success,202,6904,5,,2026-02-18 14:35:10.01115+00
365,17,50,2026-02-18 14:35:10.993+00,success,203,7887,5,,2026-02-18 14:35:10.995685+00
366,1,5,2026-02-19 15:22:43.02+00,success,204,8912,5,,2026-02-19 15:22:43.022178+00
367,1,5,2026-02-20 15:11:19.78+00,success,205,11846,5,,2026-02-20 15:11:19.781969+00
